PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,REAGENT_ID,ENTREZ_GENE_ID,NCBI_GENE_SYMBOL,PLATE,WELL,CONTROL_AVERAGE_CTG_NORMALISED_TO_NT1_ROBUST_Z_SCORED,CONTROL_Z_SCORE_BIN,DOX_AVERAGE_CTG_NORMALISED_TO_NT1_ROBUST_Z_SCORED,DOX_Z_SCORE_BIN,COMBINED_ZSCORE_BIN,CONTROL_AVERAGE_CTG_NORMALISED_TO_NT1,CONTROL_AVERAGE_CTG_NORMALISED_TO_MOCK,DOX_AVERAGE_CTG_NORMALISED_TO_NT1,DOX_AVERAGE_CTG_NORMALISED_TO_MOCK,FOLD_CHANGE_RATIO,FOLD_CHANGE_RATIO_Z_SCORE,SEED_CLUSTER_MIRNA_SHARING_SEED
RESULT_TYPE,,,,,,,STRING,TARGET_NCBI_GENE_ID,STRING,INTEGER,STRING,FLOAT,STRING,FLOAT,STRING,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,STRING
RESULT_DESCR,,,,,,,Dharmacon GE reagent id,NCBI Entrez Gene database id of intended siRNA target gene,Official symbol of target NCBI Gene Id,Plate number,Well location,"Control (siRNA alone) CTG data for each replicate normalised to NT1, then averaged the normalised values across the 2 replicates. Average normalised control CTG values used to calculate robust Z-score.","Control robust Z-score binning classification: LC (low cell count): value (2) -2, Hi (high cell count): value (3) 2, and NC (no change): 2 (3) value (3) -2","Doxorubicin treated (siRNA + Doxorubicin) CTG data for each replicate normalised to NT1, then averaged the normalised values across the 2 replicates. Average normalised control CTG values used to calculate robust Z-score.","Doxorubicin robust Z-score binning classification: LC (low cell count): value (2) -2, Hi (high cell count): value (3) 2, and NC (no change): 2 (3) value (3) -2",Combined (CONTROL_Z_SCORE_BIN and DOX_Z_SCORE_BIN) Z-score bins,"Control (siRNA alone) CTG data for each replicate normalised to NT1, then averaged the normalised values across the 2 replicates.","Control (siRNA alone) CTG data for each replicate normalised to mock, then averaged the normalised values across the 2 replicates.","Doxorubicin treated (siRNA + Doxorubicin) CTG data for each replicate normalised to NT1, then averaged the normalised values across the 2 replicates.","Doxorubicin treated (siRNA + Doxorubicin) CTG data for each replicate normalised to mock, then averaged the normalised values across the 2 replicates.",DOX_AVERAGE_CTG_NORMALISED_TO_NT1 / CONTROL_AVERAGE_CTG_NORMALISED_TO_NT1,Robust Z-score calculated on the FOLD_CHANGE_RATIO,Seed cluster analysis (using Dharmacon's seed clusterer tool) results. Enrichment score cut-off (3) 8.
1,134330018,,Inactive,,,,M-040894-00,58988,Rps6kb2,15002,L22,-1.18,NC,1.57,NC,NC both,0.88,0.88,1.08,1.03,1.23,2.81,
2,152259054,,Inactive,,,,M-065636-01,66573,Dzip1,15037,I22,1.85,NC,0.9,NC,NC both,1.06,1.1,1.02,1.04,0.96,-0.22,
3,152259059,,Inactive,,,,M-051735-00,385643,Kng2,15013,D17,0,NC,-0.45,NC,NC both,0.95,0.95,0.9,0.93,0.95,-0.34,
4,152259066,,Inactive,,,,M-046044-00,14919,Gucy2e,15001,P04,1.52,NC,1.12,NC,NC both,1.04,1.08,1.04,1.04,1,0.22,
5,152259077,,Inactive,,,,M-060616-00,258799,Olfr906,15045,P20,1.85,NC,2.36,Hi,Hi dox,1.06,1.08,1.15,1.12,1.08,1.12,
6,152259080,,Inactive,,,,M-054852-00,225115,Svil,15018,P11,-0.67,NC,0.67,NC,NC both,0.91,0.94,1,1.04,1.1,1.35,
7,152259082,,Inactive,,,,M-059681-00,73825,Ppp1r21,15021,B05,1.52,NC,1.69,NC,NC both,1.04,1.02,1.09,1.02,1.05,0.79,
8,152259088,,Inactive,,,,M-049259-00,94065,Mrpl34,15042,A16,-0.84,NC,0.67,NC,NC both,0.9,0.86,1,0.98,1.11,1.46,
9,152259091,,Inactive,,,,M-041625-00,66152,Uqcr10,15021,D09,-2.19,LC,0.34,NC,LC control,0.82,0.8,0.97,0.91,1.18,2.25,
